datetime,customer_id,current_balance,lifetime_trip_count,avg_passenger_count,created
2024-02-08 23:00:00+00:00,20999,34.856525,14,2.3169663,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20999,37.519142,19,2.571188,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20999,36.444263,24,2.216075,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20999,16.166708,29,2.642161,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20999,48.195152,34,2.4460344,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20999,34.548496,39,1.9516115,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20999,38.131973,44,1.1151907,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20999,48.866867,49,2.6670134,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20998,32.0029,17,1.2326535,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20998,11.624509,20,1.7683132,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20998,19.15199,23,2.6679068,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20998,42.272305,27,1.8499918,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20998,31.358147,30,1.4203984,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20998,32.40541,34,2.0889416,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20998,20.323729,37,1.6924043,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20998,40.362854,41,2.0483673,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20997,10.786542,14,1.2351518,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20997,25.594343,17,2.1656818,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20997,45.681713,21,2.9885132,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20997,14.481481,25,2.1814246,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20997,44.663593,29,2.825328,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20997,40.354076,33,1.066983,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20997,39.89133,37,1.4112262,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20997,13.960379,41,1.5971941,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20996,39.212322,20,1.4586575,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20996,12.159005,24,2.735273,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20996,30.841751,28,1.3557448,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20996,21.765375,32,2.8906233,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20996,45.28578,36,2.943299,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20996,30.00521,40,2.5596325,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20996,19.779821,44,1.6392055,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20996,10.9894705,48,2.6349535,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20995,28.06842,13,2.3533359,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20995,48.833202,18,1.2586248,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20995,10.783701,23,1.9291598,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20995,46.99762,28,1.7421257,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20995,25.574688,33,1.9220493,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20995,26.237394,38,1.1799293,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20995,28.661665,43,1.7763404,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20995,34.23542,49,1.0468639,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20994,34.9288,11,2.5887008,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20994,48.687122,15,2.1353703,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20994,40.374825,20,2.050643,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20994,33.164734,25,1.7909925,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20994,12.325772,29,1.2131462,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20994,10.813563,34,2.638061,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20994,20.229496,39,1.4692334,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20994,27.666784,44,1.1103165,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20993,32.698593,20,2.2206268,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20993,36.07506,23,1.653115,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20993,14.887233,27,2.4473538,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20993,31.37511,31,2.2546315,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20993,34.454044,35,2.8464162,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20993,22.68101,39,1.3352597,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20993,29.473026,43,2.592614,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20993,39.868797,47,2.8451931,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20992,37.316925,11,1.8935112,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20992,44.40851,15,2.7902126,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20992,25.114964,20,1.6830425,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20992,39.744934,24,1.6263813,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20992,43.588036,29,2.0688946,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20992,38.14297,33,1.0708059,2024-02-15 23:09:33.212
2024-02-14 23:00:00+00:00,20992,20.937647,38,1.8229911,2024-02-15 23:09:33.212
2024-02-15 23:00:00+00:00,20992,34.69129,43,2.8135328,2024-02-15 23:09:33.212
2024-02-08 23:00:00+00:00,20991,27.13794,17,2.9967594,2024-02-15 23:09:33.212
2024-02-09 23:00:00+00:00,20991,34.56809,21,1.3468198,2024-02-15 23:09:33.212
2024-02-10 23:00:00+00:00,20991,29.327204,26,1.9411353,2024-02-15 23:09:33.212
2024-02-11 23:00:00+00:00,20991,10.461861,30,1.0992913,2024-02-15 23:09:33.212
2024-02-12 23:00:00+00:00,20991,21.42916,35,1.7965062,2024-02-15 23:09:33.212
2024-02-13 23:00:00+00:00,20991,36.943127,39,2.5903995,2024-02-15 23:09:33.212
